ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001209191-20-039554	0001562250	Sullivan Brian D	Director			211 NORTH BROADWAY	SUITE 2600	ST. LOUIS	MO	63102		001-36503
0001209191-20-039553	0001640045	Moore Robert D.	Director,Officer	President & CEO		211 NORTH BROADWAY	SUITE 2600	ST. LOUIS	MO	63130		001-36503
0001209191-20-039552	0001619690	Hermann Daniel S	Director			211 N. BROADWAY	SUITE 2600	SAINT LOUIS	MO	63102		001-36503
0000899243-20-018072	0001366574	Ledbetter Carl	Director			C/O CLOUDFLARE, INC.	101 TOWNSEND STREET	SAN FRANCISCO	CA	94107		001-39039
0001209191-20-039551	0001652861	Casey G Nicholas Jr.	Director			211 NORTH BROADWAY	SUITE 2600	ST. LOUIS	MO	63102		001-36503
0001567619-20-012731	0001514980	Mueller Brian	Officer	EVP, Chief Financial Officer		105 DIGITAL DRIVE		NOVATO	CA	94949		000-26727
0001474506-20-000200	0001751976	Scherer Joshua S	Director			C/O ARCIMOTO, INC.	2034 WEST 2ND AVENUE	EUGENE	OR	97402		001-38213
0001209191-20-039550	0001627358	Garrett W.H. Baird	Officer	SVP and General Counsel		C/O ELASTIC N.V.	800 WEST EL CAMINO REAL, SUITE 350	MOUNTAIN VIEW	CA	94040		001-38675
0001493152-20-012347	0001276996	FERRIS ROBERT D	Director,Officer	CEO, President & Chairman		C/O VIRTRA, INC.	7970 S KYRENE RD	TEMPE	AZ	85284		001-38420
0001474506-20-000199	0001726982	Frohnmayer Mark	Director,Officer,TenPercentOwner	President and CEO		C/O ARCIMOTO, INC.	2034 WEST 2ND AVENUE	EUGENE	OR	97402		001-38213
0001493152-20-012346	0001804344	Grant Kimberly J	Officer	General Counsel & Secretary		7 CLYDE ROAD		SOMERSET	NJ	08873		001-36529
0001493152-20-012345	0001638023	ROTH NORMAN	Officer	Controller		7 CLYDE ROAD		SOMERSET	NJ	08873		001-36529
0001493152-20-012343	0001740080	Chaudhry A Hadi	Director,Officer	President		7 CLYDE ROAD		SOMERSET	NJ	08873		001-36529
0001493152-20-012344	0001610980	SNYDER STEPHEN ANDREW	Director,Officer	Chief Executive Officer		7 CLYDE ROAD		SOMERSET	NJ	08873		001-36529
0000905718-20-000678	0001386928	Park West Asset Management LLC	TenPercentOwner			900 LARKSPUR LANDING CIRCLE, SUITE 165		LARKSPUR	CA	94939		001-36225
0001474506-20-000198	0001753350	Eisler Jesse Grant	Director			C/O ARCIMOTO, INC.	2034 WEST 2ND AVENUE	EUGENE	OR	97402		001-38213
0000950103-20-012972	0001787626	Baldwin Lowry	Director,Officer,TenPercentOwnerOther	Chairman;	Member of 10% owner group	C/O BRP GROUP, INC	4211 W. BOY SCOUT BLVD., SUITE 800	TAMPA	FL	33607		001-39095
0000950103-20-012971	0001787715	Krystyn Elizabeth	TenPercentOwnerOther		Member of 10% owner group	C/O BRP GROUP, INC.	4211 W. BOY SCOUT BLVD., SUITE 800	TAMPA	FL	33607		001-39095
0000950103-20-012970	0001787578	Sherman Laura	TenPercentOwnerOther		Member of 10% owner group	C/O BRP GROUP, INC.	211 W. BOY SCOUT BLVD., SUITE 800	TAMPA	FL	33607		001-39095
0000950103-20-012969	0001787620	Baldwin Insurance Group Holdings, LLC	TenPercentOwnerOther		Member of 10% owner group	C/O BRP GROUP, INC	4211 W. BOY SCOUT BLVD., SUITE 800	TAMPA	FL	33607		001-39095
0000950103-20-012968	0001787701	Loper Enterprises, LLC	TenPercentOwner			C/O BRP GROUP, INC.	4211 W. BOY SCOUT BLVD., SUITE 800	TAMPA	FL	33607		001-39095
0001104659-20-079258	0000909551	CONRAD BILL M	Director			2886 CARRIAGE MANOR POINT		COLORADO SPRINGS	CO	80906		001-34857
0000893877-20-000028	0001079780	BANY SARAH	TenPercentOwner			9740 SW HILLMAN COURT	SUITE 200	WILSONVILLE	OR	97070		000-23939
0001213900-20-016391	0001815940	James John	Director,Officer,TenPercentOwner	Chief Executive Officer		C/O FUSION ACQUISITION CORP	375 PARK AVENUE, SUITE 2607	NEW YORK	NY	10152		001-39346
0001213900-20-016391	0001815881	Fusion Sponsor LLC	Director,TenPercentOwner			C/O FUSION ACQUISITION CORP.	375 PARK AVENUE, SUITE 2607	NEW YORK	NY	10152		001-39346
0000899243-20-018068	0001393537	West W Corey	Officer	Controller, EVP, CAO		C/O DELPHI ASSET MANAGEMENT CORP	5525 KIETZKE LANE, SUITE 200	RENO	NV	89511		001-35992
0000899243-20-018067	0001414813	Daley Dorian	Officer	EVP and General Counsel		C/O DELPHI ASSET MGMT CORPORATION	5525 KIETZKE LAKE, SUITE 200	RENO	NV	89511		001-35992
